host,ip,port,country,org
https://128.199.128.28:123,128.199.128.28,123,SG,DIGITALOCEAN-ASN
https://128.199.255.155:8086,128.199.255.155,8086,SG,DIGITALOCEAN-ASN
https://74.82.51.7:30710,74.82.51.7,30710,SG,HURRICANE
https://74.82.51.4:30710,74.82.51.4,30710,SG,HURRICANE
https://139.180.130.239:30710,139.180.130.239,30710,SG,AS-VULTR
https://panel.shinycraftmc.xyz:12121,51.79.250.141,12121,SG,OVH SAS
https://103.214.23.221:9884,103.214.23.221,9884,SG,HOSTHATCH
https://47.236.71.60:28443,47.236.71.60,28443,SG,"Alibaba US Technology Co., Ltd."
https://sg1.freakcloud.tk:12121,51.79.250.141,12121,SG,OVH SAS
https://103.248.228.173:11211,103.248.228.173,11211,SG,Akari Networks
https://43.156.25.177:28443,43.156.25.177,28443,SG,"Tencent Building, Kejizhongyi Avenue"
https://143.198.194.218:10111,143.198.194.218,10111,SG,DIGITALOCEAN-ASN
https://8.219.126.137:491,8.219.126.137,491,SG,"Alibaba US Technology Co., Ltd."
https://43.100.21.205:20027,43.100.21.205,20027,SG,"Alibaba US Technology Co., Ltd."
https://101.32.168.155:28443,101.32.168.155,28443,SG,"Tencent Building, Kejizhongyi Avenue"
https://139.180.130.239:20007,139.180.130.239,20007,SG,AS-VULTR
43.165.135.88:8181,43.165.135.88,8181,SG,"Tencent Building, Kejizhongyi Avenue"
https://43.134.8.58:28443,43.134.8.58,28443,SG,"Tencent Building, Kejizhongyi Avenue"
https://103.248.228.173:11016,103.248.228.173,11016,SG,Akari Networks
https://103.115.50.162:10167,103.115.50.162,10167,SG,rainbow network limited
128.199.92.96:3000,128.199.92.96,3000,SG,DIGITALOCEAN-ASN
https://103.248.228.173:11182,103.248.228.173,11182,SG,Akari Networks
https://43.164.130.188:5711,43.164.130.188,5711,SG,"Tencent Building, Kejizhongyi Avenue"
https://74.82.51.7:30110,74.82.51.7,30110,SG,HURRICANE
https://103.248.228.173:11082,103.248.228.173,11082,SG,Akari Networks
https://43.167.237.199:20069,43.167.237.199,20069,SG,"Tencent Building, Kejizhongyi Avenue"
https://8.219.129.246:7162,8.219.129.246,7162,SG,"Alibaba US Technology Co., Ltd."
https://49.0.207.17:7079,49.0.207.17,7079,SG,HUAWEI CLOUDS
https://43.175.235.243:8888,43.175.235.243,8888,SG,ACE
https://31.192.234.206:3054,31.192.234.206,3054,SG,Chelyabinsk-Signal LLC
https://74.82.51.4:30110,74.82.51.4,30110,SG,HURRICANE
https://166.108.233.64:4432,166.108.233.64,4432,SG,HUAWEI CLOUDS
https://103.248.228.173:11137,103.248.228.173,11137,SG,Akari Networks
https://210.16.123.12:8003,210.16.123.12,8003,SG,Liberally Network LLC
https://45.127.34.29:7991,45.127.34.29,7991,SG,Dromatics Systems Pte Ltd
https://43.167.216.147:7889,43.167.216.147,7889,SG,"Tencent Building, Kejizhongyi Avenue"
https://103.3.60.205:20205,103.3.60.205,20205,SG,Akamai Connected Cloud
https://43.165.187.140:1130,43.165.187.140,1130,SG,"Tencent Building, Kejizhongyi Avenue"
https://172.104.55.7:20205,172.104.55.7,20205,SG,Akamai Connected Cloud
https://47.236.155.144:3389,47.236.155.144,3389,SG,"Alibaba US Technology Co., Ltd."
https://210.16.123.109:8001,210.16.123.109,8001,SG,Liberally Network LLC
